2800. -10000.  +14000. -9800. +3800. -840. +100. -6.3 
3900. -15000.  +23000. -18000. +7900. -2000. +290. -23. 
3900. -15000.  +23000. -18000. +7900. -2000. +290. -23. 
5500. -23000.  +38000. -32000. +16000. -4600. +790. -75. 
0.26 -1.6  +5.3 -8.9 +8.7 -4.9 +1.5 -0.25 
0.065 -0.46  +1.3 -1.8 +1.4 -0.65 +0.17 -0.026 
0.065 -0.46  +1.3 -1.8 +1.4 -0.65 +0.17 -0.026
0.016 -0.13  +0.37 -0.48 +0.34 -0.14 +0.033 -0.0048 
0.13 -0.49  +1.8 -2.8 +2.7 -1.6 +0.53 -0.092 
0.032 -0.13  +0.26 -0.30 +0.21 -0.098 +0.027 -0.0042 
0.032 -0.13  +0.26 -0.30 +0.21 -0.098 +0.027 -0.0042 
0.0080 -0.032  +0.053 -0.046 +0.025 -0.0086 +0.0019 -0.00026 
0.54 -1.3  +1.6 -1.2 +0.51 -0.11 +0.0097 0
0.23 -0.65  +0.79 -0.54 +0.20 -0.040 +0.0039 -0.00014 
0.23 -0.65  +0.79 -0.54 +0.20 -0.040 +0.0039 -0.00014 
0.10 -0.32  +0.40 -0.25 +0.084 -0.016 +0.0018 -0.00011
200. -480.  +440. -200. +45. -5.2 +0.23 0
95. -260.  +280. -150. +42. -6.3 +0.49 -0.015 
95. -260.  +280. -150. +42. -6.3 +0.49 -0.015 
44. -140.  +170. -110. +36. -6.9 +0.74 -0.042 
-750. +2200. -2600. +1500. -440. +73. -6.0 +0.18 
-350. +1200. -1600. +1000. -370. +76. -8.7 +0.51 
-1000. +3400. -4400. +2800. -980. +190. -20. +0.86 
-490. +1800. -2600. +1900. -780. +190. -25. +1.9 
-0.37 +1.6 -3.1 +3.4 -2.1 +0.73 -0.13 +0.0086 
-0.16 +0.75 -1.5 +1.5 -0.82 +0.26 -0.047 +0.0043 
-0.093 +0.48 -0.85 +0.79 -0.43 +0.13 -0.021 +0.0017 
-0.040 +0.22 -0.43 +0.38 -0.19 +0.053 -0.0090 +0.00088 
